test_case_id,external_shipment_id,status_code,success,response,response_json
TC23,20251229-SHIP-023,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-5f2b-7bcd-b9c9-10e57fd130de"",""reference_number"":""EI-LD-95""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-5f2b-7bcd-b9c9-10e57fd130de', 'reference_number': 'EI-LD-95'}}"
TC24,20251229-SHIP-024,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-6039-7912-8198-e7dcaa423794"",""reference_number"":""EI-LD-96""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-6039-7912-8198-e7dcaa423794', 'reference_number': 'EI-LD-96'}}"
TC25,20251229-SHIP-025,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-610e-78e4-855f-f9285b15406c"",""reference_number"":""EI-LD-97""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-610e-78e4-855f-f9285b15406c', 'reference_number': 'EI-LD-97'}}"
TC26,20251229-SHIP-026,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-61ed-7444-a2e0-ee776c3b28f0"",""reference_number"":""EI-LD-98""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-61ed-7444-a2e0-ee776c3b28f0', 'reference_number': 'EI-LD-98'}}"
TC27,20251229-SHIP-027,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-62f1-7b64-afcc-00f4d30d5e6f"",""reference_number"":""EI-LD-99""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-62f1-7b64-afcc-00f4d30d5e6f', 'reference_number': 'EI-LD-99'}}"
TC28,20251229-SHIP-028,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-63d5-7cf1-8c5d-4f7716814db3"",""reference_number"":""EI-LD-100""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-63d5-7cf1-8c5d-4f7716814db3', 'reference_number': 'EI-LD-100'}}"
TC29,20251229-SHIP-029,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-64b1-74dd-891d-545dda83bddf"",""reference_number"":""EI-LD-101""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-64b1-74dd-891d-545dda83bddf', 'reference_number': 'EI-LD-101'}}"
TC30,20251229-SHIP-030,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-658a-7628-bf5a-f0b0ff81b47c"",""reference_number"":""EI-LD-102""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-658a-7628-bf5a-f0b0ff81b47c', 'reference_number': 'EI-LD-102'}}"
TC31,20251229-SHIP-031,400,False,"{""error"":{""code"":""BusinessLogicError"",""detailed_errors"":[{""key"":""location.postalCode"",""value"":""'postal Code' must not be empty.""}],""messages"":[""Validation failed.""]}}","{'error': {'code': 'BusinessLogicError', 'detailed_errors': [{'key': 'location.postalCode', 'value': ""'postal Code' must not be empty.""}], 'messages': ['Validation failed.']}}"
TC32,20251229-SHIP-032,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-672b-79fd-9e98-7272cbfcedbc"",""reference_number"":""EI-LD-103""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-672b-79fd-9e98-7272cbfcedbc', 'reference_number': 'EI-LD-103'}}"
TC33,20251229-SHIP-033,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-67fc-7ac6-adbf-49a905923794"",""reference_number"":""EI-LD-104""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-67fc-7ac6-adbf-49a905923794', 'reference_number': 'EI-LD-104'}}"
TC34,20251229-SHIP-034,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-68d4-7f78-912c-c2ba694673c3"",""reference_number"":""EI-LD-105""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-68d4-7f78-912c-c2ba694673c3', 'reference_number': 'EI-LD-105'}}"
TC35,20251229-SHIP-035,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-699f-75f4-b490-09a8fad526b8"",""reference_number"":""EI-LD-106""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-699f-75f4-b490-09a8fad526b8', 'reference_number': 'EI-LD-106'}}"
TC36,20251229-SHIP-036,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-6aae-70c9-8d63-d6698ce0da50"",""reference_number"":""EI-LD-107""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-6aae-70c9-8d63-d6698ce0da50', 'reference_number': 'EI-LD-107'}}"
TC37,20251229-SHIP-037,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-6b83-7c6a-8899-789663897d41"",""reference_number"":""EI-LD-108""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-6b83-7c6a-8899-789663897d41', 'reference_number': 'EI-LD-108'}}"
TC38,20251229-SHIP-038,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-6c79-7fe5-aaef-231005e06c7f"",""reference_number"":""EI-LD-109""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-6c79-7fe5-aaef-231005e06c7f', 'reference_number': 'EI-LD-109'}}"
TC39,20251229-SHIP-039,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-6d65-7253-82af-571de388c67c"",""reference_number"":""EI-LD-110""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-6d65-7253-82af-571de388c67c', 'reference_number': 'EI-LD-110'}}"
TC40,20251229-SHIP-040,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-6e30-7359-be3b-b1087e75b0ac"",""reference_number"":""EI-LD-111""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-6e30-7359-be3b-b1087e75b0ac', 'reference_number': 'EI-LD-111'}}"
